description,classes,duration
Сходить на свидание,Отношения Встречи,150
Сделать презент для защиты,Образование Работа,45
Купить билеты на поезд,Путешествия Документы Покупки,25
Сделать упражнения по английскому,Образование Хобби,90
Посетить квест с друзьями,Развлечения Встречи,120
Сделать чистку лица,Красота Здоровье,75
Сварить кофе и поработать в кафе,Работа Быт,120
Сделать анализ данных для заказчика,Работа,200
Сходить в зоомагазин,Покупки Быт,40
Сделать зарядку с Алишей,Здоровье,20
Посмотреть закат на крыше,Развлечения,45
Сделать документацию к API,Работа Документы,90
Сварить варенье из клубники,Быт,180
Сделать поиск авиабилетов,Путешествия,40
Сходить на лекцию в универ,Образование,120
Сделать укладку для свидания,Красота Отношения,45
Посетить фестиваль еды,Развлечения Путешествия,300
Сделать тестовое задание для стажировки,Работа Образование,240
Сделать прогулку с мамой,Развлечения Здоровье Встречи,90
Сварить пельмени на выходные,Быт,30
Сделать подбор литературы,Образование Работа,60
Сходить в театр,Развлечения,180
Сделать чек-лист для проекта,Работа Документы,30
Посетить велопрогулку,Спорт Здоровье Встречи,120
Сделать сканирование документов,Документы Быт,25
Сварить компот и почитать книгу,Быт Хобби Образование,270
Сделать макияж на вечеринку,Красота,60
Сходить на танцы,Хобби Спорт Развлечения,90
Сделать обзор нового фреймворка,Работа Хобби,180
Сделать уборку на балконе,Быт,45
Посетить день открытых дверей,Встречи Развлечения,120
Сделать список дел на завтра,Быт Работа,15
Сварить блины с друзьями,Быт Встречи Развлечения,90
Сделать ревью кода коллеги,Работа,60
Сходить в бассейн утром,Спорт Здоровье,75
Сделать подбор аксессуаров,Покупки Красота,40
Посмотреть документалку про космос,Развлечения Образование Хобби,150
Сделать упражнения для спины,Здоровье,25
Сходить в книжный магазин,Покупки Хобби,60
Сделать заметки по встрече,Работа Документы Образование,25
Сварить смузи на завтрак,Быт Здоровье,20
Сделать планирование спринта,Работа,45
Сходить на фотосессию,Развлечения Отношения,90
Сделать анализ требований,Работа Образование,90
Сделать прогулку после ужина,Здоровье Развлечения,45
Сварить суп-пюре,Быт,50
Сделать подбор музыки для вечеринки,Развлечения Работа,60
Сходить на лекцию по кибербезе,Образование,120
Сделать оформление резюме,Работа Документы,50
Сделать пробежку в лесу,Спорт Здоровье,40
Сварить компот и пообщаться с бабушкой,Быт Здоровье,150
Купить продукты,Быт Покупки,60
Заняться спортом,Спорт Здоровье,45
Подготовиться к экзамену,Образование,180
Сходить в кино,Развлечения,150
Посетить врача,Здоровье Красота,30
Убраться в квартире,Быт,90
Встреча с коллегами,Работа Встречи,120
Прочитать книгу,Хобби,90
Заполнить документы,"Документы, Работа",40
Пойти в тренажерный зал,Спорт,60
Выпить кофе с другом,Встречи,90
Позвонить в банк,"Документы, Работа",30
Планировать поездку,Путешествия,60
Покупка одежды,Покупки,90
Заняться йогой,"Спорт, Хобби",45
Посетить выставку,"Развлечения, Работа",120
Обсудить проект,Работа,90
Сделать уборку,Быт,120
Написать курсовую,Образование,180
Поехать на дачу,"Быт, Хобби",240
Забрать посылку,Быт,30
Пойти на свидание,"Отношения, Встречи",120
Посмотреть фильм,"Развлечения, Хобби",150
Проверить документы,"Документы, Работа",20
Позаниматься искусством,"Хобби, Развлечения",75
Встретиться с друзьями,"Встречи, Развлечения",90
Пойти на фитнес,Спорт,60
Сделать презентацию,"Работа, Образование",150
Пройти медосмотр,Здоровье,60
Записаться в спортзал,Спорт,30
Прогуляться по парку,Хобби,60
Заняться рукоделием,Хобби,90
Поехать в командировку,Работа,240
Выходные с семьей,"Отношения, Быт",180
Сдать отчет,Работа,120
Записать лекцию,"Работа, Образование",180
Покупка продуктов,Покупки,60
Сходить на концерт,Развлечения,120
Провести семинар,Работа,120
Планировать встречу,Встречи,60
Почитать статьи,"Работа, Образование",60
Заполнить отчетность,Работа,60
Обсудить проект с коллегами,"Работа, Встречи",90
Записаться на тренинг,"Образование, Работа",30
Отдохнуть на выходных,Быт,120
Устроить пикник,"Развлечения, Хобби",180
Пройти курс повышения квалификации,Образование,240
Приготовить ужин,Быт,90
Поговорить с родителями,"Встречи, Быт",60
Проверить почту,Работа,20
Устроить барбекю,"Хобби, Развлечения",150
Погулять в парке,Хобби,60
Купить билеты на поезд,Покупки,30
Пойти на массаж,Здоровье,60
Сходить в магазин,Покупки,45
Поговорить с другом,Встречи,60
Отправить письмо,Документы,20
Покупка подарка,Покупки,90
Заняться медитацией,"Хобби, Здоровье",30
Обновить резюме,Документы,60
Сделать заказ в интернет-магазине,Покупки,30
Заняться танцами,"Хобби, Развлечения",75
Поехать на работу,Работа,45
Подготовить отчет,Работа,120
Завести дневник,Хобби,60
Позвонить бабушке,Быт,30
Сделать домашку,Образование,90
Пройти собеседование,Работа,120
Пойти на выставку,"Развлечения, Работа",90
Подготовиться к собеседованию,Работа,150
Провести встречу,"Работа, Встречи",60
Купить билеты в театр,Покупки,45
Сделать уборку,Быт,90
Пойти на пробежку,"Спорт, Хобби",45
Записаться в клинику,Здоровье,30
Сделать анализы,Здоровье,60
Ремонтировать машину,"Быт, Работа, Хобби",120
Пожарить шашлыки,"Развлечения, Быт",180
Погулять с питомцем,Быт,60
Завести кошку,"Покупки, Быт",30
Встретиться с клиентом,"Встречи, Работа",90
Посетить стоматолога,Здоровье,60
Подготовить презентацию,"Работа, Образование",120
Отправить посылку,Быт,30
Пройти обследование,Здоровье,60
Решить задачки по программированию,Образование,120
Выучить новые слова,"Образование, Хобби",90
Пойти в бассейн,"Спорт, Хобби",60
Провести вечер с семьей,"Быт, Встречи",120
Обновить программу,"Работа, Образование",60
Поехать на выходные в город,"Развлечения, Путешествия",180
Провести тестирование,Работа,90
Позвонить врачу,Здоровье,30
Сделать зарядку,Спорт,30
Посетить курсы,"Работа, Образование",60
Посидеть с друзьями,"Встречи, Развлечения",90
Пойти на встречу с клиентом,"Работа, Встречи",120
Писать статью,"Работа, Образование",150
Сделать запись в блоге,"Хобби, Работа",90
Поехать в другой город,"Путешествия, Развлечения",180
Закончить отчет,"Работа, Образование",60
Заняться дизайном,"Работа, Быт",90
Поехать в магазин,Покупки,45
Забрать документы,Документы,20
Пойти на курсы,Образование,60
Поговорить с коллегами,"Встречи, Работа",60
Покрасить волосы,Красота,60
Поехать на работу,Работа,45
Провести день на природе,"Развлечения, Путешествия",120
Пройти тренинг,Образование,90
Запланировать поездку,Путешествия,120
Купить новое оборудование,Покупки,60
Пойти на консультацию,Здоровье,60
Устроить вечеринку,"Развлечения, Работа",180
Пойти на свидание,Отношения,120
Сделать ревизию,"Работа, Быт",60
Прочитать лекцию,Работа,120
Обсудить с коллегами,"Встречи, Работа",60
Пойти на прогулку,Хобби,45
Приготовить завтрак,Быт,45
Купить подарок,Покупки,60
Поехать на встречу,Встречи,60
Провести презентацию,Работа,120
Заняться фитнесом,Спорт,60
Провести выходные,Быт,120
Пойти в кафе,Развлечения,90
Сделать отчетность,Работа,60
Записаться на курс,Образование,30
Посетить салон красоты,Красота,90
Собрать вещи на дачу,Быт,45
Заняться спортом,Спорт,60
Позвать друга на встречу,Встречи,60
Обсудить домашку,Образование,30
Сделать проект,"Образование, Работа",120
Сходить в магаз за продуктами,"Покупки, Быт",45
Забрать посылку с почты,Быт,30
Приготовить ужин,Быт,60
Погулять с собакой,Быт,40
Заправить кровать,Быт,15
Помыть посуду,Быт,25
Постирать вещи,Быт,90
Сходить в ТЦ за новой кофтой,Покупки,120
Заказать пиццу,Покупки,30
Встретиться с Машей в кафе,Встречи,90
Подготовить презентацию по маркетингу,"Работа, Образование",180
Сходить на йогу,Спорт,60
Записаться к стоматологу,Здоровье,30
Позвонить маме,Быт,20
Посмотреть новый сериал,Развлечения,45
Почитать книгу по Python,Образование,60
Сделать домашку по физике,Образование,90
Оплатить счета за квартиру,"Быт, Документы",25
Купить билеты в кино,Покупки,20
Поехать на дачу,Быт,180
Сходить в тренажерку,Спорт,80
Встреча с клиентом в 15:00,"Встречи, Работа",60
Заполнить налоговую декларацию,"Документы, Работа",120
Съездить в ИКЕА за мебелью,"Покупки, Быт",240
Принять душ,Быт,25
Сделать маски для лица,"Здоровье, Красота",40
Поиграть в настолки с друзьями,"Развлечения, Хобби",150
Сварить суп на неделю,Быт,90
Сходить на свидание,Отношения,120
Заняться английским,Образование,50
Убраться в комнате,Быт,75
Купить подарок сестре,Покупки,60
Послушать подкаст про финансы,"Образование, Хобби, Быт, Работа",45
Записать видео для ютуба,"Хобби, Работа",180
Полить цветы,Быт,15
Сделать зарядку,Спорт,20
Взять книгу в библиотеке,"Хобби, Образование, Быт",40
Починить велосипед,Быт,90
Сходить на концерт,Развлечения,180
Оформить страховку,Документы,60
Помочь брату с уроками,"Образование, Быт",60
Купить новые кроссовки,Покупки,75
Приготовить блинчики,Быт,40
Съездить в другой город на выходные,"Путешествия, Развлечения",480
Сделать маникюр,Красота,60
Написать отчет по работе,Работа,240
Сходить в банк,"Документы, Работа",90
Поиграть в футбол с друзьями,"Спорт, Развлечения, Хобби",120
Заказать продукты онлайн,Покупки,30
Посетить вебинар по дизайну,"Образование, Работа",90
Погулять в парке,Хобби,60
Выбросить мусор,Быт,10
Купить лекарства в аптеке,"Покупки, Здоровье",25
Почистить компьютер от пыли,Быт,45
Сходить в музей,Развлечения,120
Встретить подругу из отпуска,Встречи,40
Составить план тренировок,"Спорт, Быт",50
Приготовить смузи,Быт,15
Сделать домашнее задание по математике,Образование,75
Купить билеты на самолет,Покупки,60
Съездить на пикник,Развлечения,180
Записаться на курсы вождения,Образование,30
Почистить ковер,Быт,50
Сходить на выставку,"Развлечения, Работа",90
Сделать резюме,Документы,60
Купить продукты на неделю,"Покупки, Быт",120
Поздравить друга с днем рождения,Отношения,15
Поспать днем,Быт,90
Поиграть на гитаре,Хобби,45
Съездить в аквапарк,Развлечения,240
Заполнить дневник питания,"Быт, Здоровье",10
Сделать уборку в шкафу,Быт,120
Купить косметику,Покупки,60
Сходить на пробежку,"Спорт, Хобби",40
Приготовить обед на работу,Быт,45
Посмотреть ютуб,"Развлечения, Хобби",60
Сделать уроки с ребенком,"Отношения, Образование",90
Купить новый телефон,Покупки,90
Погулять с собакой в парке,Быт,50
Съездить в больницу,Здоровье,120
Почитать новости,Быт,20
Сделать перерыв на кофе,"Развлечения, Быт",15
Купить цветы маме,Покупки,30
Сходить в кино с девушкой,"Отношения, Развлечения",150
Приготовить завтрак,Быт,30
Заняться медитацией,"Здоровье, Хобби",25
Сделать домашнее задание по программированию,Образование,120
Купить продукты для пиццы,Покупки,40
Позвонить в поддержку банка,"Документы, Работа, Быт",45
Съездить на природу,"Путешествия, Развлечения",180
Сделать прическу,Красота,90
Написать статью в блог,"Работа, Хобби",120
Сходить в кафе с коллегами,Встречи,90
Купить подарок на годовщину,Покупки,60
Поиграть в компьютерные игры,"Развлечения, Хобби",120
Сделать генеральную уборку,"Быт, Работа",180
Записаться к парикмахеру,Красота,30
Сходить на семинар по психологии,"Образование, Работа",120
Купить абонемент в спортзал,Покупки,30
Погулять по городу,"Развлечения, Хобби",90
Сделать домашнее задание по истории,Образование,60
Купить новые джинсы,Покупки,45
Съездить в гости к родителям,"Путешествия, Встречи",240
Сделать маску для волос,"Красота, Быт",40
Написать код для проекта,"Работа, Образование",180
Сходить на конференцию,"Работа, Образование",300
Купить продукты для выпечки,Покупки,50
Поиграть в баскетбол,Спорт,90
Сделать растяжку,Спорт,20
Заполнить анкету на визу,Документы,45
Сходить в театр,Развлечения,150
Купить книгу по саморазвитию,Покупки,30
Погулять с ребенком,Быт,60
Сделать массаж,"Здоровье, Работа",60
Написать дипломную работу,Образование,600
Сходить на шопинг,"Развлечения, Покупки",180
Купить продукты для гриля,Покупки,60
Поиграть в волейбол,Спорт,120
Сделать утреннюю зарядку,Спорт,25
Записаться на курсы английского,Образование,60
Сходить в оперу,Развлечения,180
Купить новый ноутбук,Покупки,120
Погулять с собакой вечером,Быт,30
Сделать педикюр,Красота,75
Написать бизнес-план,Работа,240
Сходить на фестиваль,Развлечения,300
Купить продукты для суши,Покупки,90
Поиграть в теннис,"Спорт, Хобби",60
Сделать дыхательные упражнения,"Здоровье, Спорт",15
Заполнить заявление на загранпаспорт,Документы,50
Сходить в цирк,Развлечения,120
Купить материалы для рисования,Покупки,45
Погулять в лесу,Хобби,120
Сделать чистку лица,"Красота, Здоровье",60
Написать пост для соцсетей,"Работа, Хобби",30
Сходить на мастер-класс по кулинарии,"Образование, Развлечения, Хобби",150
Купить продукты для вечеринки,Покупки,120
Поиграть в гольф,"Спорт, Хобби, Развлечения",180
Сделать йогу дома,"Спорт, Хобби",50
Записаться на массаж,Здоровье,30
Сходить в дельфинарий,Развлечения,90
Купить новый рюкзак,Покупки,40
Погулять по набережной,"Хобби, Развлечения",60
Сделать макияж,Красота,45
Написать письмо бабушке,"Отношения, Быт",25
Сходить на выставку собак,"Развлечения, Хобби",120
Купить ингредиенты для торта,Покупки,60
Поиграть в бадминтон,"Спорт, Хобби, Развлечения",45
Сделать разминку,Спорт,15
Заполнить налоговую отчетность,"Документы, Работа",90
Сходить в планетарий,"Развлечения, Хобби, Образование",90
Купить новые наушники,Покупки,50
Погулять в ботаническом саду,"Развлечения, Хобби",75
Сделать укладку,Красота,30
Написать рецензию на фильм,"Работа, Хобби",45
Сходить на поэтический вечер,"Хобби, Развлечения",120
Купить продукты для здорового питания,Покупки,80
Поиграть в шахматы,Хобби,60
Сделать заказ в интернет-магазине,Покупки,20
Записаться к врачу,Здоровье,15
Сходить в парк аттракционов,Развлечения,180
Купить новый зонт,Покупки,25
Погулять под дождем,"Развлечения, Хобби",30
Сделать питательную маску для лица,"Здоровье, Красота",35
Написать стихотворение,"Хобби, Работа, Образование",50
Сходить на концерт классической музыки,"Развлечения, Хобби",150
Купить продукты для барбекю,Покупки,90
Поиграть в настольный футбол,"Развлечения, Хобби",60
Сделать пробежку в парке,"Спорт, Хобби",40
Заполнить анкету на работу,"Документы, Работа",40
Сходить в книжный магазин,"Развлечения, Покупки",60
Купить новый чехол для телефона,Покупки,20
Погулять с друзьями в центре,"Развлечения, Встречи",120
Сделать ароматерапию,"Хобби, Здоровье",45
Написать сценарий для видео,Работа,120
Сходить на лекцию по искусству,Образование,90
Купить продукты для смузи,Покупки,30
Поиграть в дартс,"Развлечения, Хобби, Спорт",45
Сделать утреннюю пробежку,"Спорт, Хобби",35
Записаться на стрижку,Красота,25
Сходить в зоопарк,Развлечения,150
Купить новые серьги,Покупки,50
Погулять в саду,"Быт, Хобби",40
Сделать гимнастику для глаз,Здоровье,10
Написать план на неделю,"Работа, Быт",30
Сходить на ярмарку,Развлечения,120
Купить продукты для пасты,Покупки,35
Поиграть в мобильные игры,"Развлечения, Хобби",60
Сделать вечернюю медитацию,"Здоровье, Хобби",20
Заполнить заявление на кредит,Документы,50
Сходить в исторический музей,"Образование, Развлечения",120
Купить новый парфюм,Покупки,45
Погулять с собакой утром,"Быт, Хобби",25
Сделать пилинг,Красота,30
Написать доклад,"Образование, Работа",180
Сходить на карнавал,Развлечения,240
Купить продукты для салата,Покупки,25
Поиграть в боулинг,"Развлечения, Хобби",90
Сделать завтрак в постель,"Быт, Отношения",40
Записаться на йогу,Спорт,20
Сходить в океанариум,Развлечения,120
Купить новый шарф,Покупки,30
Погулять в парке с семьей,"Отношения, Развлечения",90
Сделать массаж ног,"Здоровье, Работа",25
