Описание события,Класс (тэг) события,Длительность события (в минутах)
Поставить 2 грамма гормона роста,"Здоровье, Спорт",10
Покататься на бмв,"Развлечения, Хобби",120
Покататься на роликах,Развлечения,50
Сходить на каток,Развлечения,50
Погулять с Шариком,Развлечения,60
Послушать новый альбом кумира,Развлечения,100
Пересмотреть Волк с Уолл стрит,Развлечения,150
Показать девушке первую серию Лучше звоните Солу,"Развлечения, Отношения",60
Приготовить синабоны к фильму,"Развлечения, Хобби",120
Позвонить в кол-центр узнать про поездку,Путешествия,40
Позвонить в трансфер,Путешествия,30
Взять номер у гида,Путешествия,10
Нанять гида в питер,"Путешествия, Покупки",50
Собрать документы в поездку,"Путешествия, Документы",60
Сделать шенген-визу,"Путешествия, Документы",20160
Оформить гринкард,"Путешествия, Документы",43200
Заказать базу с озона,"Покупки, Работа",40
Заказать патчи,"Покупки, Красота",10
Купить микрофон,Покупки,50
Приобрести часы Rolex,"Покупки, Красота",180
Купить машину,Покупки,200
Купить микроавтобус,Покупки,200
Купить жигуль,Покупки,200
Вывести зарплату,Документы,10
Перекинуть деньги в оффшоры,Документы,45
Открыть беспроцентный накопительный счет на багамах,Документы,45
Открыть вклад в ВТБ,Документы,50
Открыть ИП,Документы,20
Заплатить налоги по ИП,Документы,10
Зарегистрировать перевод средств на ИП,Документы,10
Отмыть деньги,Документы,200
Сходить к корешу,"Встречи, Развлечения",180
Почилить у друга,"Встречи, Развлечения",200
Сходить на мероприятие с одногруппником,Встречи,300
Сходить в зал с другом,"Встречи, Спорт",120
Встретиться с режиссером,"Встречи, Работа",40
Обсудить текст со сценаристом,"Встречи, Работа",40
Обговорить стратегию с продюсером,"Встречи, Работа",40
Выстроить план рекламы с маркетологом,"Встречи, Работа",40
Договориться о роле гг с актером,"Встречи, Работа",40
Укрепить створки,Быт,300
Пропилить балки,Быт,100
Забить сваи,Быт,250
Прикопать септик,Быт,500
Поклеить обои,Быт,100
Заштукатурить стену,Быт,120
Отшкурить стену и пол,Быт,120
Замешать цемент,Быт,30
Написать трогательное письмо парню,Отношения,60
Выбросить все вещи бывшей,Отношения,10
Купить айфон девушке,"Отношения, Покупки",180
Купить киндер любимой,"Отношения, Покупки",10
Отпросить девушку на ночевку у тещи,Отношения,30
Забрать сестру девушки из садика,Отношения,45
Отвести братика парня в магазин,Отношения,45
Попробовать новую позу,"Отношения, Развлечения",45
Заказать взрослые игрушки,"Отношения, Развлечения, Покупки",20
Пропить ритиноиды,Красота,20
Заказать средство от акне,"Красота, Покупки",20
Нанести средство от черных точек,Красота,20
Купить глину для волос,"Красота, Покупки",20
Уложить волосы перед выходом,Красота,20
Нанести мусс на волосы,Красота,40
Сделать кудряшки,Красота,80
Бигуди,Красота,120
Выпрямить волосы,Красота,120
Выцветить волосы,Красота,120
Начать изучение ООП на питоне,"Образование, Хобби",150
Выучить стихи ветхого завета,"Образование, Хобби",200
Перечитать главы Корана про любовь к родным,"Образование, Хобби",200
Выучить второе четверостишье в Слово о полку Игореве,Образование,150
Перечитать Волк на псарне,Образование,150
Записаться на предбанник,Образование,40
Отсидеть день на предбаннике,Образование,300
Посетить кружок мастеров на все руки,"Образование, Быт, Развлечения",120
Собес в яндекс,Работа,60
Обеденный перерыв,"Работа, Развлечения",15
Убить время на работе,"Работа, Развлечения",60
Выйти во фриланс,Работа,180
Предложить свою кандидатуру,Работа,20
Отправить резюме,"Работа, Документы",25
Составить резюме,"Работа, Документы",60
Запечь жульен,"Хобби, Развлечения",180
Разделать курицу для шашлыка,"Хобби, Развлечения, Быт",30
Запрокинуть стопочку,Хобби,10
Дописать песню,Хобби,60
Дописать последнюю главу в романе,Хобби,60
Найти саундтрек к моему эпизоду,Хобби,30
Записать видос на ютуб,"Хобби, Развлечения",120
Выложить новости в телеграм канал,"Хобби, Работа",30
Раскодироваться,Здоровье,50
Вшить торпеду,Здоровье,50
Поставить прививку ,Здоровье,20
Привиться от коронавируса,Здоровье,20
Физиотерапия,Здоровье,180
Химиотерапия,Здоровье,180
ЭКГ,Здоровье,120
МРТ,Здоровье,60
КТ,Здоровье,50
Ультразвук,Здоровье,30
УЗИ,Здоровье,50
30метровка,Спорт,60
Поставить новый рекорд в 100 метровом забеге,Спорт,60
Челночный бег,Спорт,60
Разминка,Спорт,30
Заминка,Спорт,30
Кардио тренировка,Спорт,180
40 подтягиваний,Спорт,45
Алмазные отжимания,Спорт,45
Махи на дельты,Спорт,45
Записать новый тренд в тикток,Развлечения,60
Прослушать подкаст,"Развлечения, Образование",180
Поиграть в нового человека паука,Развлечения,200
Купить последнего год оф вор,"Развлечения, Покупки",25
Поставить оценку фильмам на кинопоиске,Развлечения,30
Сходить в клуб,Развлечения,180
Познакомиться с девушкой,"Развлечения, Отношения",30
Перезвонить парню из клуба,"Развлечения, Отношения",30
Забронировать места на паром,"Покупки, Путешествия",30
Купить билет в круиз,"Покупки, Путешествия",20
Собраться в пешее Путешествия,Путешествия,30
Ежегодный заезд на мотоциклах,"Путешествия, Хобби, Развлечения",14400
Купить дом на колесах,"Покупки, Путешествия",200
Отправиться с семьей по стране,Путешествия,14400
Обустроить дом на колесах,"Покупки, Путешествия",50
Отремонтировать дом на колесах,"Быт, Путешествия",60
Купить новый картхолдер,Покупки,20
Купить новый шейкер,Покупки,20
Выискать новый пенал на маркетплейсах,Покупки,20
Забрать куртку с пвз,Покупки,30
Зайти в Ашан за ручками,Покупки,40
В читай городе купить новые тетрадки,Покупки,20
Зайти за мороженным в перекресток,Покупки,30
Купить поддельный паспорт,"Покупки, Документы",120
Купить пластамассовый пистолет,Покупки,120
Обновить страховку,Документы,45
Заплалить за страховку,"Покупки, Документы",40
Оформить европротокол,Документы,60
Запотентовать изобретение,Документы,60
Выкупить патент на изображение,"Документы, Покупки",60
Подготовить списки на отчисление,"Документы, Работа",60
Выучить 1С,"Образование, Документы",300
Оформить кредитку,Документы,40
Закрыть все карты в сбербанке,Документы,45
Встретить Мистера биста,Встречи,20
Увидеться с ведущими до свадьбы,Встречи,45
Передать брату кольцо,Встречи,45
Найти соседа в общежитии,Встречи,25
Заговорить с соседкой,Встречи,15
Сходить к красавчику соседу за солью,"Встречи, Отношения",25
Проложить рубероид,Быт,120
Уложить гидроизоляцию под потолок,Быт,180
Провести электричество в дом,Быт,200
Проверить батареи на подтеки,Быт,120
Выключить котел в новом доме,Быт,30
Убрать банки в подпол,Быт,25
Сходить на чердак за коробками,Быт,20
Освободить полку под инструменты,Быт,20
Приобрести углекислоту для сварки,"Быт, Покупки",20
Заказать деталь на озон,"Быт, Покупки",20
Перебрать ходовуху,Быт,300
Сменить масло в ситроене,Быт,180
Заправиться,"Быт, Покупки",30
